,,,duration,bytes
,,,sum,sum
name,session_begin,network_name,,
92000270*,2021-11-25,"T-Mobile USA, Inc",75559,3248383
92000270*,2021-11-26,"T-Mobile USA, Inc",100746,3941319
92000270*,2021-11-27,"T-Mobile USA, Inc",75560,3582955
92000270*,2021-11-28,"T-Mobile USA, Inc",75559,2998106
92000270*,2021-11-29,"T-Mobile USA, Inc",100746,4062068
92000270*,2021-11-30,"T-Mobile USA, Inc",75559,3498677
92000270*,2021-12-01,"T-Mobile USA, Inc",100746,4067487
92000270*,2021-12-02,"T-Mobile USA, Inc",74457,68446767
92000270*,2021-12-03,"T-Mobile USA, Inc",100746,15606034
92000270*,2021-12-04,"T-Mobile USA, Inc",75559,11670988
92000270*,2021-12-05,"T-Mobile USA, Inc",100746,15022927
92000270*,2021-12-06,"T-Mobile USA, Inc",75559,9440266
92000270*,2021-12-07,"T-Mobile USA, Inc",75559,2568152
92000270*,2021-12-08,"T-Mobile USA, Inc",100746,2965378
92000270*,2021-12-09,"T-Mobile USA, Inc",75560,2295199
92000270*,2021-12-10,"T-Mobile USA, Inc",100746,3112927
92000270*,2021-12-11,"T-Mobile USA, Inc",75559,2191553
92000270*,2021-12-12,"T-Mobile USA, Inc",100746,3608740
92000270*,2021-12-13,"T-Mobile USA, Inc",75559,2378003
92000270*,2021-12-14,"T-Mobile USA, Inc",75560,2521837
92000270*,2021-12-15,"T-Mobile USA, Inc",100745,3246132
92000270*,2021-12-16,AT&T Mobility,61052,11865143
92000270*,2021-12-16,"T-Mobile USA, Inc",26521,3057806
92000270*,2021-12-17,AT&T Mobility,75559,11620567
92000270*,2021-12-18,AT&T Mobility,100746,3205560
92000270*,2021-12-19,AT&T Mobility,75559,2371776
92000270*,2021-12-20,AT&T Mobility,85717,2928797
92000270*,2021-12-21,AT&T Mobility,99887,3542754
92000270*,2021-12-22,AT&T Mobility,76202,3328897
92000270*,2021-12-23,AT&T Mobility,75560,2707543
92000270*,2021-12-24,AT&T Mobility,103713,3469828
92000270*,2021-12-25,AT&T Mobility,75559,2522259
92000270*,2021-12-26,AT&T Mobility,90139,3014485
92000270*,2021-12-27,AT&T Mobility,75560,2739259
92000270*,2021-12-28,AT&T Mobility,88100,3327904
92000270*,2021-12-29,AT&T Mobility,100747,5022185
92000270*,2021-12-30,AT&T Mobility,75559,2860768
92000270*,2021-12-31,AT&T Mobility,82194,2999676
92000270*,2022-01-01,AT&T Mobility,100745,3435893
92000270*,2022-01-02,AT&T Mobility,91828,3359513
92000270*,2022-01-03,AT&T Mobility,74953,2461656
92000270*,2022-01-04,AT&T Mobility,91918,3747234
92000270*,2022-01-05,AT&T Mobility,75559,2936291
92000270*,2022-01-06,AT&T Mobility,98687,3276188
92000270*,2022-01-07,AT&T Mobility,75559,2489835
92000270*,2022-01-08,AT&T Mobility,100746,3736600
92000270*,2022-01-09,AT&T Mobility,75560,2363182
92000270*,2022-01-10,AT&T Mobility,89067,2678639
92000270*,2022-01-11,AT&T Mobility,97159,3471689
92000270*,2022-01-12,AT&T Mobility,74801,6961512
92000270*,2022-01-13,AT&T Mobility,97306,56246371
92000270*,2022-01-14,AT&T Mobility,75559,2500939
92000270*,2022-01-15,AT&T Mobility,76445,2351108
92000270*,2022-01-16,AT&T Mobility,100747,3196784
92000270*,2022-01-17,AT&T Mobility,25187,971644
92000330,2021-11-25,"T-Mobile USA, Inc",75559,14112
92000330,2021-11-26,"T-Mobile USA, Inc",100746,18648
92000330,2021-11-27,"T-Mobile USA, Inc",75560,14112
92000330,2021-11-28,"T-Mobile USA, Inc",100746,609774
92000330,2021-11-29,"T-Mobile USA, Inc",75559,14112
92000330,2021-11-30,"T-Mobile USA, Inc",75560,14112
92000330,2021-12-01,"T-Mobile USA, Inc",100745,111105
92000330,2021-12-02,"T-Mobile USA, Inc",75560,14112
92000330,2021-12-03,"T-Mobile USA, Inc",100746,101690
92000330,2021-12-04,"T-Mobile USA, Inc",75559,14112
92000330,2021-12-05,"T-Mobile USA, Inc",100746,18648
92000330,2021-12-06,"T-Mobile USA, Inc",75560,14112
92000330,2021-12-07,"T-Mobile USA, Inc",73970,13776
92000330,2021-12-08,AT&T Mobility,46950,8736
92000330,2021-12-08,"T-Mobile USA, Inc",55381,21634
92000330,2021-12-09,AT&T Mobility,75560,14112
92000330,2021-12-10,AT&T Mobility,100746,19488
92000330,2021-12-11,AT&T Mobility,75559,14112
92000330,2021-12-12,AT&T Mobility,100746,18984
92000330,2021-12-13,AT&T Mobility,81476,15288
92000330,2021-12-14,AT&T Mobility,75560,14280
92000330,2021-12-15,AT&T Mobility,100746,19152
92000330,2021-12-16,AT&T Mobility,75559,15456
92000330,2021-12-17,AT&T Mobility,73654,14616
92000330,2021-12-17,"T-Mobile USA, Inc",21784,4032
92000330,2021-12-18,"T-Mobile USA, Inc",75560,14112
92000330,2021-12-19,"T-Mobile USA, Inc",100746,18816
92000330,2021-12-20,"T-Mobile USA, Inc",75559,14112
92000330,2021-12-21,"T-Mobile USA, Inc",75560,14112
92000330,2021-12-22,"T-Mobile USA, Inc",100746,18816
92000330,2021-12-23,"T-Mobile USA, Inc",75559,14112
92000330,2021-12-24,"T-Mobile USA, Inc",100746,18816
92000330,2021-12-25,"T-Mobile USA, Inc",75660,14280
92000330,2021-12-26,"T-Mobile USA, Inc",100645,18816
92000330,2021-12-27,"T-Mobile USA, Inc",75560,13944
92000330,2021-12-28,"T-Mobile USA, Inc",75559,14280
92000330,2021-12-29,"T-Mobile USA, Inc",100746,18816
92000330,2021-12-30,"T-Mobile USA, Inc",75559,14112
92000330,2021-12-31,"T-Mobile USA, Inc",100746,18648
92000330,2022-01-01,"T-Mobile USA, Inc",75560,14112
92000330,2022-01-02,"T-Mobile USA, Inc",100746,18816
92000330,2022-01-03,"T-Mobile USA, Inc",86352,35623
92000330,2022-01-04,"T-Mobile USA, Inc",75559,14112
92000330,2022-01-05,"T-Mobile USA, Inc",75560,14112
92000330,2022-01-06,"T-Mobile USA, Inc",85631,249069
92000330,2022-01-07,"T-Mobile USA, Inc",100746,18816
92000330,2022-01-08,"T-Mobile USA, Inc",75559,14112
92000330,2022-01-09,"T-Mobile USA, Inc",100746,18816
92000330,2022-01-10,"T-Mobile USA, Inc",75560,14196
92000330,2022-01-11,"T-Mobile USA, Inc",100746,18816
92000330,2022-01-12,"T-Mobile USA, Inc",75559,14112
92000330,2022-01-13,"T-Mobile USA, Inc",75560,253030
92000330,2022-01-14,"T-Mobile USA, Inc",91167,16968
92000330,2022-01-15,"T-Mobile USA, Inc",100746,18984
92000330,2022-01-16,"T-Mobile USA, Inc",75559,14112
92000330,2022-01-17,"T-Mobile USA, Inc",25186,4704
92000351,2021-11-25,"T-Mobile USA, Inc",87053,3496550
92000351,2021-11-26,"T-Mobile USA, Inc",87178,3535513
92000351,2021-11-27,"T-Mobile USA, Inc",61392,2061530
92000351,2021-11-28,"T-Mobile USA, Inc",86935,2875399
92000351,2021-11-29,"T-Mobile USA, Inc",87572,3033597
92000351,2021-11-30,"T-Mobile USA, Inc",86767,3503930
92000351,2021-12-01,"T-Mobile USA, Inc",92188,3252382
92000351,2021-12-02,"T-Mobile USA, Inc",72359,65707838
92000351,2021-12-03,AT&T Mobility,72152,5813898
92000351,2021-12-03,"T-Mobile USA, Inc",19796,1664031
92000351,2021-12-04,AT&T Mobility,100746,7475704
92000351,2021-12-05,AT&T Mobility,75560,5946155
92000351,2021-12-06,AT&T Mobility,100746,7585727
92000351,2021-12-07,AT&T Mobility,75559,2288115
92000351,2021-12-08,AT&T Mobility,86020,3047677
92000351,2021-12-09,AT&T Mobility,75559,2617027
92000351,2021-12-10,AT&T Mobility,100746,2800502
92000351,2021-12-11,AT&T Mobility,75559,2146848
92000351,2021-12-12,AT&T Mobility,100746,2973626
92000351,2021-12-13,AT&T Mobility,75560,2164041
92000351,2021-12-14,AT&T Mobility,100746,2930344
92000351,2021-12-15,AT&T Mobility,75559,2245563
92000351,2021-12-16,AT&T Mobility,75560,2607930
92000351,2021-12-17,AT&T Mobility,100746,6098728
92000351,2021-12-18,AT&T Mobility,75559,2117003
92000351,2021-12-19,AT&T Mobility,100746,3390516
92000351,2021-12-20,AT&T Mobility,75559,2046079
92000351,2021-12-21,AT&T Mobility,100746,3044995
92000351,2021-12-22,AT&T Mobility,75560,2091135
92000351,2021-12-23,AT&T Mobility,75559,2264514
92000351,2021-12-24,AT&T Mobility,97813,63586082
92000351,2021-12-25,AT&T Mobility,97148,2707656
92000351,2021-12-26,AT&T Mobility,75559,2044893
92000351,2021-12-27,AT&T Mobility,75560,1973253
92000351,2021-12-28,AT&T Mobility,100746,2635449
92000351,2021-12-29,AT&T Mobility,75559,2118637
92000351,2021-12-30,AT&T Mobility,100746,2795104
92000351,2021-12-31,AT&T Mobility,75559,2118923
92000351,2022-01-01,AT&T Mobility,100746,2673819
92000351,2022-01-02,AT&T Mobility,75560,2023147
92000351,2022-01-03,AT&T Mobility,75559,2056862
92000351,2022-01-04,AT&T Mobility,100746,2814706
92000351,2022-01-05,AT&T Mobility,75560,2030892
92000351,2022-01-06,AT&T Mobility,100746,2671342
92000351,2022-01-07,AT&T Mobility,75400,2066586
92000351,2022-01-08,AT&T Mobility,100746,2842197
92000351,2022-01-09,AT&T Mobility,75560,2047049
92000351,2022-01-10,AT&T Mobility,75559,1959857
92000351,2022-01-11,AT&T Mobility,100746,2637332
92000351,2022-01-12,AT&T Mobility,75560,2054563
92000351,2022-01-13,AT&T Mobility,100746,2837044
92000351,2022-01-14,AT&T Mobility,75559,2057350
92000351,2022-01-15,AT&T Mobility,100746,2821552
92000351,2022-01-16,AT&T Mobility,75559,2406767
92000351,2022-01-17,AT&T Mobility,25187,775592
92000354,2021-11-25,"T-Mobile USA, Inc",100746,18816
92000354,2021-11-26,"T-Mobile USA, Inc",75560,40530
92000354,2021-11-27,"T-Mobile USA, Inc",75559,22868
92000354,2021-11-28,"T-Mobile USA, Inc",100746,29318
92000354,2021-11-29,"T-Mobile USA, Inc",75560,14112
92000354,2021-11-30,"T-Mobile USA, Inc",100746,18816
92000354,2021-12-01,"T-Mobile USA, Inc",75560,14112
92000354,2021-12-02,"T-Mobile USA, Inc",100746,35493
92000354,2021-12-03,"T-Mobile USA, Inc",75559,13944
92000354,2021-12-04,"T-Mobile USA, Inc",75560,14112
92000354,2021-12-05,"T-Mobile USA, Inc",100746,18816
92000354,2021-12-06,"T-Mobile USA, Inc",75560,23290
92000354,2021-12-07,"T-Mobile USA, Inc",100746,27691
92000354,2021-12-08,AT&T Mobility,21757,4032
92000354,2021-12-08,"T-Mobile USA, Inc",45914,11645
92000354,2021-12-09,AT&T Mobility,100747,18816
92000354,2021-12-10,AT&T Mobility,75559,14112
92000354,2021-12-11,AT&T Mobility,100746,18816
